#	Arena
system "Omnis"
	add object
		object "Shale "
			distance 18525
			offset 0
			sprite "ship/gegno shale"
		object "Dolomite "
			distance 18525
			offset 1.48
			sprite "ship/gegno dolomite"
		object "Conglomerate "
			distance 18525
			offset 2.96
			sprite "ship/gegno conglomerate"
		object "Gypsum "
			distance 18525
			offset 4.44
			sprite "ship/gegno gypsum"
		object "Dunite "
			distance 18525
			offset 5.93
			sprite "ship/gegno dunite"
		object "Augen "
			distance 18525
			offset 7.41
			sprite "ship/gegno augen"
		object "Slate "
			distance 18525
			offset 8.89
			sprite "ship/gegno slate"
		object "Schist "
			distance 18525
			offset 10.37
			sprite "ship/gegno schist a"
		object "Eclogite "
			distance 18525
			offset 11.85
			sprite "ship/gegno eclogite"
		object "Diorite "
			distance 18525
			offset 13.33
			sprite "ship/gegno diorite"
		object "Hornfel "
			distance 18525
			offset 14.81
			sprite "ship/gegno hornfel a"
		object "Gneiss "
			distance 18525
			offset 16.3
			sprite "ship/gegno gneiss"
		object "Granulite "
			distance 18525
			offset 17.78
			sprite "ship/gegno granulite"
		object "Halite "
			distance 18525
			offset 19.26
			sprite "ship/gegno halite"
		object "Mica "
			distance 18525
			offset 20.74
			sprite "ship/gegno mica"
		object "Coesite "
			distance 18525
			offset 22.22
			sprite "ship/gegno coesite"
		object "Tridymite "
			distance 18525
			offset 23.7
			sprite "ship/gegno tridymite"
		object "Felsic "
			distance 18525
			offset 25.19
			sprite "ship/gegno felsic"
		object "Feldspar "
			distance 18525
			offset 26.67
			sprite "ship/gegno feldspar"
		object "Epidote "
			distance 18525
			offset 28.15
			sprite "ship/gegno epidote"
		object "Albatross "
			distance 18525
			offset 29.63
			sprite "ship/albatross"
		object "Modified Dromedary "
			distance 18525
			offset 31.11
			sprite "ship/modified dromedary"
		object "Gull "
			distance 18525
			offset 32.59
			sprite "ship/gull"
		object "Heron "
			distance 18525
			offset 34.07
			sprite "ship/heron"
		object "Ibis "
			distance 18525
			offset 35.56
			sprite "ship/ibis"
		object "Merganser "
			distance 18525
			offset 37.04
			sprite "ship/merganser"
		object "Pelican "
			distance 18525
			offset 38.52
			sprite "ship/pelican"
		object "Penguin "
			distance 18525
			offset 40
			sprite "ship/penguin/penguin"
		object "Peregrine "
			distance 18525
			offset 41.48
			sprite "ship/peregrine/peregrine"
		object "Petrel "
			distance 18525
			offset 42.96
			sprite "ship/petrel"
		object "Puffin "
			distance 18525
			offset 44.44
			sprite "ship/puffin"
		object "Smew "
			distance 18525
			offset 45.93
			sprite "ship/smew"
		object "Starling "
			distance 18525
			offset 47.41
			sprite "ship/starling"
		object "Tern "
			distance 18525
			offset 48.89
			sprite "ship/tern"
		object "Marauder Fury "
			distance 18525
			offset 50.37
			sprite "ship/mfury"
		object "Lampyrid-Class Transport "
			distance 18525
			offset 51.85
			sprite "ship/lampyrid"
		object "Modified Osprey "
			distance 18525
			offset 53.33
			sprite "ship/mosprey"
		object "Ursa Polaris "
			distance 18525
			offset 54.81
			sprite "ship/localworldship"
		object "Shooting Star "
			distance 18525
			offset 56.3
			sprite "ship/shooting star/shooting star"
		object "Marauder Bactrian "
			distance 18525
			offset 57.78
			sprite "ship/mbactriane"
		object "Modified Boxwing "
			distance 18525
			offset 59.26
			sprite "ship/modified boxwing"
		object "Modified Battleship "
			distance 18525
			offset 60.74
			sprite "ship/battleship"
		object "Modified Ladybug "
			distance 18525
			offset 62.22
			sprite "ship/modified ladybug"
		object "Quarg Skylark "
			distance 18525
			offset 63.7
			sprite "ship/skylark"
		object "Quarg Wardragon "
			distance 18525
			offset 65.19
			sprite "ship/wardragon"
		object "Pincer Beast "
			distance 18525
			offset 66.67
			sprite "ship/pincer beast"
		object "Rano'erek "
			distance 18525
			offset 68.15
			sprite "ship/dredger"
		object "Palavret "
			distance 18525
			offset 69.63
			sprite "ship/raider"
		object "Tubfalet "
			distance 18525
			offset 71.11
			sprite "ship/tubfalet"
		object "'nra'ret "
			distance 18525
			offset 72.59
			sprite "ship/-nra-ret"
		object "'olofez "
			distance 18525
			offset 74.07
			sprite "ship/chaser"
		object "Kas'ik Tek 7 "
			distance 18525
			offset 75.56
			sprite "ship/kas-ik tek 7"
		object "Rai'alorej "
			distance 18525
			offset 77.04
			sprite "ship/rai-alorej"
		object "Ikatila'ej "
			distance 18525
			offset 78.52
			sprite "ship/ikatila-ej"
		object "Lor'kas Ik 577 "
			distance 18525
			offset 80
			sprite "ship/world-ship a"
		object "Ra'gru Ik 618 "
			distance 18525
			offset 81.48
			sprite "ship/world-ship b"
		object "Kas'lor Ik 582 "
			distance 18525
			offset 82.96
			sprite "ship/world-ship c"
		object "Lor'nag Ik 590 "
			distance 18525
			offset 84.44
			sprite "ship/world-ship d"
		object "Ra'at Ik 621 "
			distance 18525
			offset 85.93
			sprite "ship/world-ship e"
		object "Kasichara A'awoj "
			distance 18525
			offset 87.41
			sprite "ship/world-ship f"
