#	Outfits
#		Developer tools

outfit " Extra Outfit"
	category "Special"
	"outfit space" 1
outfit " Extra Weapon"
	category "Special"
	"weapon capacity" 1
outfit " Extra Engine"
	category "Special"
	"engine capacity" 1

#		God facade

outfit " Kill All"
	category "Special"
	"turret mounts" -1
	weapon
		"turret turn" 180
		velocity 1
		lifetime 1
		reload 1
		"blast radius" 10000
		"trigger radius" 10000
		"piercing" 1
		"relative hull damage" 1
		"hit force" 10000
outfit " Omniscience"
	category "Special"
	"outfit scan power" 1000000
	"outfit scan speed" 1000000
	"cargo scan power" 1000000
	"cargo scan speed" 1000000
	"tactical scan power" 1000000
	"asteroid scan power" 1000000
